,function,optimizer,hook_function,test_MSE,test_MAE
0,sigmoid,AdaDelta,WeightDecay,458.8970031738281,16.8560791015625
1,sigmoid,AdaDelta,Lasso,330.5765686035156,14.173630714416504
2,sigmoid,AdaDelta,GradientHardClipping,358.81268310546875,14.787022590637207
3,sigmoid,AdaDelta,GradientNoise,570.97802734375,20.308727264404297
4,sigmoid,AdaDelta,GradientLARS,459.0246887207031,16.767282485961914
5,sigmoid,Adam,WeightDecay,512.211669921875,18.97398567199707
6,sigmoid,Adam,Lasso,521.3373413085938,19.18338394165039
7,sigmoid,Adam,GradientHardClipping,535.4977416992188,19.506372451782227
8,sigmoid,Adam,GradientNoise,573.0442504882812,20.342451095581055
9,sigmoid,Adam,GradientLARS,527.9337768554688,19.335044860839844
10,sigmoid,RMSpropGraves,WeightDecay,567.5838623046875,20.22640037536621
11,sigmoid,RMSpropGraves,Lasso,569.1611938476562,20.265783309936523
12,sigmoid,RMSpropGraves,GradientHardClipping,569.6494140625,20.269855499267578
13,sigmoid,RMSpropGraves,GradientNoise,572.7963256835938,20.33979606628418
14,sigmoid,RMSpropGraves,GradientLARS,485.2572326660156,18.341676712036133
15,sigmoid,SMORMS3,WeightDecay,489.28350830078125,18.44759178161621
16,sigmoid,SMORMS3,Lasso,489.9663391113281,18.46649169921875
17,sigmoid,SMORMS3,GradientHardClipping,475.3975524902344,18.118633270263672
18,sigmoid,SMORMS3,GradientNoise,572.2869262695312,20.332075119018555
19,sigmoid,SMORMS3,GradientLARS,482.6131896972656,18.30336570739746
20,sigmoid,AMSGrad,WeightDecay,547.576904296875,19.783756256103516
21,sigmoid,AMSGrad,Lasso,537.6859130859375,19.56557273864746
22,sigmoid,AMSGrad,GradientHardClipping,524.53466796875,19.257686614990234
23,sigmoid,AMSGrad,GradientNoise,572.655517578125,20.33732032775879
24,sigmoid,AMSGrad,GradientLARS,520.075439453125,19.155908584594727
25,sigmoid,AdaBound,WeightDecay,441.36383056640625,17.177404403686523
26,sigmoid,AdaBound,Lasso,439.6083984375,17.154970169067383
27,sigmoid,AdaBound,GradientHardClipping,464.61968994140625,17.80373764038086
28,sigmoid,AdaBound,GradientNoise,571.09228515625,20.31199073791504
29,sigmoid,AdaBound,GradientLARS,514.9935913085938,19.039077758789062
30,sigmoid,AMSBound,WeightDecay,498.61126708984375,18.651384353637695
31,sigmoid,AMSBound,Lasso,519.9147338867188,19.15601348876953
32,sigmoid,AMSBound,GradientHardClipping,507.9783020019531,18.877840042114258
33,sigmoid,AMSBound,GradientNoise,571.3394165039062,20.31627655029297
34,sigmoid,AMSBound,GradientLARS,512.3273315429688,18.97653579711914
35,tanh,AdaDelta,WeightDecay,349.7801818847656,14.59471321105957
36,tanh,AdaDelta,Lasso,281.72210693359375,13.0794095993042
37,tanh,AdaDelta,GradientHardClipping,277.9753723144531,13.040885925292969
38,tanh,AdaDelta,GradientNoise,303.222900390625,13.502767562866211
39,tanh,AdaDelta,GradientLARS,325.6870422363281,14.161933898925781
40,tanh,Adam,WeightDecay,297.35791015625,13.31860065460205
41,tanh,Adam,Lasso,285.16790771484375,13.130704879760742
42,tanh,Adam,GradientHardClipping,300.75140380859375,13.408617973327637
43,tanh,Adam,GradientNoise,306.3956604003906,13.43615436553955
44,tanh,Adam,GradientLARS,298.2007141113281,13.429186820983887
45,tanh,RMSpropGraves,WeightDecay,295.2999572753906,13.316549301147461
46,tanh,RMSpropGraves,Lasso,302.80950927734375,13.50854206085205
47,tanh,RMSpropGraves,GradientHardClipping,308.867919921875,13.579718589782715
48,tanh,RMSpropGraves,GradientNoise,289.0393981933594,13.123316764831543
49,tanh,RMSpropGraves,GradientLARS,312.46649169921875,13.781563758850098
50,tanh,SMORMS3,WeightDecay,299.37945556640625,13.23178768157959
51,tanh,SMORMS3,Lasso,361.6173095703125,14.531825065612793
52,tanh,SMORMS3,GradientHardClipping,303.8564147949219,13.440917015075684
53,tanh,SMORMS3,GradientNoise,338.7851257324219,14.158670425415039
54,tanh,SMORMS3,GradientLARS,296.6649475097656,13.121402740478516
55,tanh,AMSGrad,WeightDecay,288.90716552734375,13.127825736999512
56,tanh,AMSGrad,Lasso,294.6088562011719,13.25422191619873
57,tanh,AMSGrad,GradientHardClipping,295.80560302734375,13.274662017822266
58,tanh,AMSGrad,GradientNoise,324.4951171875,13.983428001403809
59,tanh,AMSGrad,GradientLARS,299.4490661621094,13.389960289001465
60,tanh,AdaBound,WeightDecay,251.27223205566406,12.498417854309082
61,tanh,AdaBound,Lasso,295.1770935058594,13.199055671691895
62,tanh,AdaBound,GradientHardClipping,291.3012390136719,13.149861335754395
63,tanh,AdaBound,GradientNoise,284.93927001953125,13.022568702697754
64,tanh,AdaBound,GradientLARS,305.7044372558594,13.433440208435059
65,tanh,AMSBound,WeightDecay,261.9916076660156,12.726036071777344
66,tanh,AMSBound,Lasso,262.43402099609375,12.68223762512207
67,tanh,AMSBound,GradientHardClipping,295.802978515625,13.283675193786621
68,tanh,AMSBound,GradientNoise,282.0538024902344,13.421273231506348
69,tanh,AMSBound,GradientLARS,294.83624267578125,13.325569152832031
